month,Total_Claims,Total_Amount,Avg_Amount,Closed,Open,Fraud_Cases
2023-01,37,2363327.15,63873.71,15,11,1
2023-02,33,2618821.54,79358.23,16,9,3
2023-03,51,4073535.63,79873.25,18,15,8
2023-04,43,3087259.48,71796.73,13,11,3
2023-05,31,2033177.33,65586.37,12,7,6
2023-06,41,3135246.25,76469.42,17,13,2
2023-07,34,2513660.55,73931.19,8,16,2
2023-08,53,3945940.67,74451.71,21,14,2
2023-09,55,4308721.49,78340.39,24,17,5
2023-10,46,4099782.51,89125.71,17,15,1
2023-11,39,2725058.77,69873.3,17,11,3
2023-12,37,3091795.08,83562.03,13,7,1
2024-01,35,3297640.43,94218.3,9,8,3
2024-02,33,2613064.64,79183.78,15,8,3
2024-03,47,3335078.81,70959.12,16,13,6
2024-04,43,3232944.85,75184.76,16,11,0
2024-05,33,2889846.81,87571.12,10,11,3
2024-06,35,2781643.58,79475.53,17,3,3
2024-07,52,3780773.88,72707.19,21,13,2
2024-08,41,2885019.67,70366.33,19,13,4
2024-09,38,2967101.58,78081.62,20,10,2
2024-10,39,3387430.45,86857.19,20,9,0
2024-11,48,3314413.75,69050.29,27,8,2
2024-12,41,3440332.47,83910.55,13,13,2
